Track,Danceability_scaled,Loudness_scaled,Cluster
No Surprises,-2.313689668987016,-0.8044755000801588,0
Karma Police,-1.658613813814091,-0.42855026115041245,0
Weird Fishes/ Arpeggi,-0.5917759925324695,-0.15640503900061603,0
Jigsaw Falling Into Place,-1.022254411646106,0.3218211665887006,0
Just,-2.0890922329277277,0.11771224997635303,0
Nude,-0.6853582575571732,-0.5902597409785526,0
Highway to Hell,-0.3235068327949862,0.6403099591770495,0
Thunderstruck,-0.7727017049135633,0.5461437681795656,0
Back In Black,-1.9705546972297694,0.4221500664210984,0
You Shook Me All Night Long,-0.5855371748641559,0.4638099781451161,0
T.N.T.,0.7994803475014575,0.5355439089835137,1
Hells Bells,-1.477688101432997,0.6464726680119633,0
Dirty Deeds Done Dirt Cheap,0.26294202802649025,0.6186172240781526,1
Shoot to Thrill,-1.053448499987674,0.5145906989448065,0
It's a Long Way to the Top (If You Wanna Rock 'N' Roll),-1.0596873176559876,0.9464733340955707,0
Rock N Roll Train,-0.49195490983945217,1.2410508164044538,0
I Gotta Feeling,0.7370921708183217,0.25033374410369963,1
DON'T YOU WORRY,1.2798693079616024,0.5197673743661341,1
Where Is The Love?,1.2985857609665432,1.0275745823630371,1
Just Can’t Get Enough,0.20679266901166807,-0.3191005522423423,1
GIRL LIKE ME,2.1158708755156215,-0.3435048792286013,1
Pump It,0.14440449232853225,1.0453231838075894,1
Pump It Louder,0.21303148667998165,1.2615110097363678,1
Meet Me Halfway,1.0739883249072548,0.13151671776656013,1
RITMO (Bad Boys For Life),0.6622263587985586,0.10415429053954259,1
SIMPLY THE BEST,1.5356608323624592,0.3311884840177697,1
Billie Jean,1.909989892461274,-0.5495858626681208,1
Chicago,-0.1113870320723245,1.1624146516709528,0
Beat It,0.9367343362043562,-0.40414593416415345,1
Smooth Criminal - 2012 Remaster,1.417123296664501,0.8488560261505349,1
Rock with You - Single Version,1.1363765015903908,-1.264706595871527,1
Don't Stop 'Til You Get Enough,1.5730937383723407,-0.6124454927842425,1
They Don't Care About Us,1.4545562026743826,0.4564147275432196,1
Remember the Time,1.2798693079616024,1.2343950908627468,1
The Way You Make Me Feel - 2012 Remaster,1.566854920704027,0.7068672145941194,1
Love Never Felt So Good,0.9304955185360426,0.2905146057073381,1
Just Give Me a Reason (feat. Nate Ruess),0.9492119715409834,0.02896924275359341,1
Never Gonna Not Dance Again,0.26294202802649025,0.8345585416535347,1
Raise Your Glass,0.4625841934125241,0.5878036799035832,1
Try,0.3003749340363718,0.07679186331252505,1
So What,-0.5730595395275287,1.063071785252141,0
What About Us,-0.8413286992650126,0.2991423980762176,0
Cover Me In Sunshine,-0.953627417294657,0.13102370105976707,0
TRUSTFALL,0.06329986264045573,0.8631535106475351,1
Who Knew,0.38771838139276116,0.6955278303378778,1
True Love (feat. Lily Allen),-1.053448499987674,0.6484447348391358,0
Mockingbird,0.06953868030876931,0.8855857708066216,1
Without Me,1.760258268421748,1.1249453819546764,1
The Real Slim Shady,2.016049792822604,0.7756430451917582,1
Superman,1.0989435955805094,1.0482812840483478,1
Till I Collapse,-0.4857160921711386,1.023876957062089,0
